City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Saint George,37.1041,-113.5841,76.42,16,0,9.22,US,2022-04-15 21:52:55
68,Chiang Klang,19.2938,100.8617,77.79,52,5,1.79,TH,2022-04-15 21:52:55
69,Alofi,-19.0595,-169.9187,84.09,74,57,4.61,NU,2022-04-15 21:52:55
70,Esso,55.9333,158.7,19.63,79,100,3.18,RU,2022-04-15 21:52:56
71,Mahebourg,-20.4081,57.7,77.29,78,75,14.97,MU,2022-04-15 21:52:56
72,Khatanga,71.9667,102.5,17.91,83,100,13.09,RU,2022-04-15 21:52:56
73,Kapaa,22.0752,-159.319,79.12,75,75,17.27,US,2022-04-15 21:52:57
74,Vaini,-21.2,-175.2,82.56,74,20,8.05,TO,2022-04-15 21:52:57
75,Arraial Do Cabo,-22.9661,-42.0278,73.26,64,20,19.57,BR,2022-04-15 21:52:57
76,Kitimat,54.0524,-128.6534,50.38,40,93,2.06,CA,2022-04-15 21:52:58
77,Ushuaia,-54.8,-68.3,47.86,71,75,14.97,AR,2022-04-15 21:52:58
78,Camapua,-19.5314,-54.0439,71.46,67,0,7.09,BR,2022-04-15 21:52:58
79,Carnarvon,-24.8667,113.6333,69.87,83,46,5.75,AU,2022-04-15 21:52:59
80,Churapcha,62.0025,132.4325,15.98,85,47,3.67,RU,2022-04-15 21:52:59
81,Cabo San Lucas,22.8909,-109.9124,85.6,49,74,6.31,MX,2022-04-15 21:48:44
82,Sujiatun,41.6592,123.3392,32.18,69,0,2.24,CN,2022-04-15 21:52:59
83,Marsh Harbour,26.5412,-77.0636,70.11,86,100,15.3,BS,2022-04-15 21:53:00
84,Aksarka,66.5606,67.7975,12.94,92,100,4.47,RU,2022-04-15 21:53:00
85,Araouane,18.9048,-3.5265,81.66,12,0,11.32,ML,2022-04-15 21:53:00
86,Stornoway,58.2093,-6.3865,51.93,92,100,0.0,GB,2022-04-15 21:53:00
87,Pitkyaranta,61.5734,31.4792,31.3,87,97,10.13,RU,2022-04-15 21:53:01
88,Koygorodok,60.445,50.9968,27.52,93,100,8.48,RU,2022-04-15 21:53:01
89,Jamestown,42.097,-79.2353,62.53,27,75,21.99,US,2022-04-15 21:50:37
90,Gunjur,13.2019,-16.7339,68.9,83,6,14.81,GM,2022-04-15 21:53:02
91,Barrow,71.2906,-156.7887,2.59,86,6,22.66,US,2022-04-15 21:53:02
92,Loudon,35.7328,-84.3338,76.51,31,96,1.01,US,2022-04-15 21:53:02
93,Esperance,-33.8667,121.9,55.24,79,39,10.25,AU,2022-04-15 21:53:03
94,Qaqortoq,60.7167,-46.0333,26.58,70,30,4.65,GL,2022-04-15 21:54:03
95,Imeni Zhelyabova,58.9544,36.5956,32.61,94,100,7.11,RU,2022-04-15 21:54:04
96,Gamba,-2.65,10.0,76.87,89,100,3.29,GA,2022-04-15 21:54:04
97,Tuatapere,-46.1333,167.6833,52.92,65,44,17.65,NZ,2022-04-15 21:54:04
98,Malindi,-3.2175,40.1191,81.73,79,100,11.03,KE,2022-04-15 21:49:10
99,Gizo,-8.103,156.8419,82.72,75,100,6.76,SB,2022-04-15 21:54:05
100,Saint-Philippe,-21.3585,55.7679,74.79,87,49,14.14,RE,2022-04-15 21:54:05
101,Port Elizabeth,-33.918,25.5701,57.49,79,0,3.0,ZA,2022-04-15 21:54:06
102,Sanchursk,56.9413,47.2499,28.36,92,17,7.2,RU,2022-04-15 21:54:06
103,Cape Town,-33.9258,18.4232,59.11,66,0,14.97,ZA,2022-04-15 21:52:05
104,Xichang,27.8964,102.2634,52.68,84,94,4.47,CN,2022-04-15 21:54:07
105,Muli,2.9167,73.5667,83.53,73,13,7.14,MV,2022-04-15 21:54:07
106,Porto Santo,33.072,-16.3415,61.18,88,40,11.5,PT,2022-04-15 21:54:07
107,Vila Velha,-20.3297,-40.2925,76.95,74,100,14.97,BR,2022-04-15 21:54:08
108,Itoman,26.1247,127.6694,69.82,68,20,21.85,JP,2022-04-15 21:54:08
109,Colombo,6.9319,79.8478,78.75,81,62,8.43,LK,2022-04-15 21:54:09
110,Puerto Leguizamo,-0.1934,-74.7819,80.58,86,58,2.44,CO,2022-04-15 21:54:09
111,West Bay,19.3667,-81.4167,86.07,67,20,11.5,KY,2022-04-15 21:54:10
112,Bethel,41.3712,-73.414,67.17,30,12,14.0,US,2022-04-15 21:53:31
113,Georgetown,5.4112,100.3354,80.55,89,40,3.44,MY,2022-04-15 21:50:11
114,Ellington,41.904,-72.4698,67.51,25,36,5.01,US,2022-04-15 21:54:10
115,Qui Nhon,13.7667,109.2333,76.78,93,16,1.77,VN,2022-04-15 21:54:10
116,Bassar,9.25,0.7833,78.04,76,84,5.61,TG,2022-04-15 21:54:11
117,Skibbereen,51.55,-9.2667,52.11,91,7,5.53,IE,2022-04-15 21:54:11
118,Port Alfred,-33.5906,26.891,60.51,68,96,7.94,ZA,2022-04-15 21:54:11
119,Ende,-8.8432,121.6623,78.69,86,92,1.23,ID,2022-04-15 21:54:12
120,Toucheng,24.8592,121.8233,66.45,79,100,7.92,TW,2022-04-15 21:54:12
121,Bambous Virieux,-20.3428,57.7575,77.25,78,75,14.97,MU,2022-04-15 21:54:13
122,Airai,-8.9266,125.4092,61.36,88,100,1.77,TL,2022-04-15 21:54:13
123,Price,39.5994,-110.8107,62.11,34,36,20.38,US,2022-04-15 21:54:13
124,Tuktoyaktuk,69.4541,-133.0374,-7.6,84,40,2.3,CA,2022-04-15 21:54:14
125,Flinders,-34.5833,150.8552,61.38,90,96,3.69,AU,2022-04-15 21:54:14
126,Tual,-5.6667,132.75,84.06,70,100,4.21,ID,2022-04-15 21:54:14
127,Nikolskoye,59.7035,30.7861,38.88,82,96,12.53,RU,2022-04-15 21:54:15
128,Lompoc,34.6391,-120.4579,73.69,71,0,27.0,US,2022-04-15 21:53:18
129,Goedereede,51.8175,3.9806,50.99,77,100,1.99,NL,2022-04-15 21:54:15
130,Provideniya,64.3833,-173.3,32.85,95,100,28.48,RU,2022-04-15 21:54:16
131,Kaitangata,-46.2817,169.8464,51.62,72,79,16.93,NZ,2022-04-15 21:54:16
132,Lebu,-37.6167,-73.65,55.67,83,17,12.88,CL,2022-04-15 21:54:17
133,Guerrero Negro,27.9769,-114.0611,67.14,53,96,17.38,MX,2022-04-15 21:54:17
