City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Maragogi,BR,78.73,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
250,Petatlan,MX,80.4,clear sky,17.5167,-101.2667,Hotel California Petatlán
256,Pandhurna,IN,89.76,clear sky,21.6,78.5167,Hotel Aditya Residency
259,Nabire,ID,85.89,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
271,Carnarvon,AU,81.03,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
280,Lorengau,PG,84.2,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
282,Mackay,AU,83.68,clear sky,-21.15,149.2,International Lodge Motel
283,Kahului,US,78.82,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
284,Pundaguitan,PH,82.0,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
286,Puerto Carreno,CO,80.74,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
291,Souillac,MU,76.68,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
293,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
295,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
297,Mahibadhoo,MV,83.66,overcast clouds,3.7833,72.9667,Omadhoo Inn
302,Faanui,PF,81.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
303,Kota Belud,MY,85.15,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
306,Kendari,ID,81.09,overcast clouds,-3.945,122.4989,Hotel Wixel
310,Eruwa,NG,77.32,light rain,7.5333,3.4167,Yinka Hostel
312,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
317,Kawalu,ID,80.65,overcast clouds,-7.3817,108.2082,West Jontor
320,Leon,MX,82.45,overcast clouds,21.1167,-101.6667,Enterprise Inn Poliforum
334,Jeremie,HT,75.56,overcast clouds,18.65,-74.1167,Auberge’Inn
337,Soeng Sang,TH,85.69,overcast clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
340,Cuddapah,IN,87.33,broken clouds,14.4667,78.8167,Swagath Residency A/C
348,Seminole,US,76.21,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
349,Manavalakurichi,IN,82.87,scattered clouds,8.1333,77.3,Jebinrio home
353,Gayeri,BF,87.1,overcast clouds,12.6497,0.4931,
359,Tondano,ID,77.09,overcast clouds,1.3038,124.9112,Villa Bella
360,Asyut,EG,79.14,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
361,Inverell,AU,77.67,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
363,Bonthe,SL,77.32,few clouds,7.5264,-12.505,Bonthe Holiday Village
374,Manokwari,ID,84.02,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
377,Poum,NC,78.55,clear sky,-20.2333,164.0167,
379,Alofi,NU,81.79,light rain,-19.0595,-169.9187,Taloa Heights
381,Sumbe,AO,76.89,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
382,Goundam,ML,77.54,broken clouds,16.4145,-3.6708,
384,Progreso,MX,83.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
390,Koumac,NC,80.42,clear sky,-20.5667,164.2833,Le Monitel
391,Sydney,AU,75.76,scattered clouds,-33.8679,151.2073,The Grace Sydney
393,Luanda,AO,76.44,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
397,Mangrol,IN,80.74,clear sky,21.1167,70.1167,Hotel The Royal Honours
398,Ormara,PK,79.95,clear sky,25.2088,64.6357,Kenara Colony house for Rent
400,Barquisimeto,VE,76.17,clear sky,10.0739,-69.3228,Hotel Príncipe
406,Matara,LK,81.39,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
407,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Base Lodging
411,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
414,Kavaratti,IN,83.86,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
417,Markapur,IN,85.73,overcast clouds,15.7333,79.2833,VIHARI GRAND INN
421,Quang Ngai,VN,81.77,overcast clouds,15.1167,108.8,Central Hotel
422,Mangan,IN,76.35,clear sky,27.5167,88.5333,Hotel Mout View
431,Beaufort,MY,87.12,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
438,Ponnani,IN,79.92,broken clouds,10.767,75.9252,Rouba Residency
446,Pasni,PK,80.02,clear sky,25.2631,63.471,Kashmiri Hotal
447,Bandarbeyla,SO,80.44,scattered clouds,9.4942,50.8122,JABIR HOTEL
448,Dapaong,TG,81.39,overcast clouds,10.8639,0.205,Hotel Caroli
449,Teknaf,BD,84.94,broken clouds,20.8624,92.3058,Forestry Guesthouse
451,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
455,Kirakira,SB,85.57,overcast clouds,-10.4544,161.9205,SanBiz Lodge
458,Isangel,VU,84.02,few clouds,-19.55,169.2667,Tanna Lodge
459,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
460,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
465,Meulaboh,ID,81.82,scattered clouds,4.1363,96.1285,Kost Pria
466,Touros,BR,79.03,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
467,Weligama,LK,81.73,broken clouds,5.9667,80.4167,Weligama Bay Resort
468,Catuday,PH,83.53,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
469,Maxcanu,MX,80.35,clear sky,20.5833,-89.9833,Albergue Comunitario San Miguel Arcangel
472,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
475,Dong Hoi,VN,78.1,overcast clouds,17.4833,106.6,Nam Long Hotel
478,Adrar,MR,76.17,clear sky,20.5022,-10.0711,
481,Sinnamary,GF,77.79,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
488,Boyolangu,ID,84.25,overcast clouds,-8.1181,111.8935,Yos ega cv
489,Carutapera,BR,76.48,overcast clouds,-1.195,-46.02,Lidera
495,Vao,NC,76.8,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
496,Davila,PH,83.53,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
498,Calabozo,VE,85.98,overcast clouds,8.9242,-67.4293,Hotel Giardini
507,Raga,SS,78.8,overcast clouds,8.4596,25.678,
508,Denpasar,ID,83.86,light rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
509,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
511,Wagar,SD,81.72,broken clouds,16.1525,36.2032,
512,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
513,Oriximina,BR,75.15,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
514,Pitiquito,MX,78.13,clear sky,30.7,-112.0833,La Víspera
516,Axim,GH,75.24,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
518,Sapa,PH,83.68,scattered clouds,5.1544,120.3241,
519,Codrington,AU,79.3,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
522,Kupang,ID,85.69,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
524,Anuradhapura,LK,79.5,few clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
525,Charters Towers,AU,81.23,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
528,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
532,Tecoanapa,MX,80.19,few clouds,16.5167,-98.75,Hotel Manglares
537,Gizo,SB,81.97,light rain,-8.103,156.8419,Imagination Island
547,Finschhafen,PG,83.44,overcast clouds,-6.6024,147.8681,Cossam Guest House
549,Ballina,AU,75.38,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
550,Lucea,JM,77.45,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
552,Buguda,IN,89.44,broken clouds,19.8167,84.8,Pallishree Video creations
553,Biltine,TD,84.61,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
558,Muisne,EC,76.77,overcast clouds,0.6,-80.0333,Quinta Samay
560,Bourail,NC,80.85,clear sky,-21.5667,165.4833,Motel Allamanda
561,Nizwa,OM,82.08,scattered clouds,22.9333,57.5333,Orient Apartments
564,Thinadhoo,MV,83.46,overcast clouds,0.5333,72.9333,
568,Sur,OM,86.41,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
570,Myitkyina,MM,79.48,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
